歌名,歌手,Video ID,語言
无人之岛,罗云熙/姚晓棠,Bv115M-BvQg,華語
River (河流),吉克隽逸/高睿,z7gkAIHUxZs,華語
我是不是该安静的走开,胡彦斌,dlj4D0ZrWus,華語
纯妹妹,金志文,pIfN_81SpgA,華語
歌曲：快乐小马,王安宇/黄子弘凡/范丞丞/胡先煦,YZ1SbZoiAko,華語
夜来香,宋亚轩,AoqEpnoNPHU,華語
西厢寻他,黄霄雲/刘宇,bEYpckbqqhs,華語
依兰爱情故事,岳云鹏/金志文/管乐,mDVbPLkssXI,華語
同花顺,宋亚轩,WruTIPGb84U,華語
他真的对你好吗,付豪,AHJwzZUHwqc,華語
歌曲：人间共鸣,李健,OvkRPDUVuSk,華語
一个人想着一个人,姚晓棠/王栎鑫,7OSCbE5cs3M,華語
亲爱的你，好久不见,黄子弘凡/黄霄雲/孙楠/谭松韵/王铮亮/杨丞琳/姚晓棠/曾舜晞,Z6SeWv1-etI,華語
傻子,张远,y-Rru2nOe-M,華語
想你和我们的以后,杨丞琳/周笔畅,AVj8pjxbCxg,華語
Forever (永不凋零),弹壳/BrAnTB白景屹,a0DZn9ST0JY,華語
UNETHICAL,Faouzia,I1zqCX3Dvxo,西洋
Trouble Maker (麻烦你了),那奇沃夫/Yamy郭颖,BcR8bAFlFb4,華語
第一次爱的人,姚晓棠/袁一琦,EQBkiZKP-DA,華語
沉默是金 + 海海人生,齐豫,Fkr7wrSwLgE,華語
歌曲：梦底,海来阿木/刘浩存,vL0kVZoQpEQ,華語
手掌,盛宇D-SHINE/加木,4W3xtg7jLVo,華語
一个傻子,欢子/李佳薇,P4kj0GSC600,華語
我要找到你,刘惜君,DtXgoZG_Q8E,華語
蓝旗袍,容祖儿,Wp3CpQUpXRw,華語
尕连手,赵骏,BgY8FqEM5mQ,華語
歌曲：别来无恙,任素汐/毛不易,mrBFVtVS69k,華語
看我72变,万妮达Vinida Weng,zJaf0Nw-0AU,華語
我好想你•一 一,王菀之,ctWxU3u2JD8,華語
colt.45 (烈驹45号),弹壳,2MFEhEgTmn0,華語
让你妈妈New一下,李宇春,9EMyQJ4GS_Q,華語
最好的伴,宝石Gem,zmJGRcO0wKw,華語
人生路漫漫,孙楠/白小白/加木,Juof_QKfgn8,華語
是非题,王赫野,sc9LdPzku6Y,華語
梦底,张碧晨/海来阿木,vL0kVZoQpEQ,華語
有我呢,陈楚生/姚晓棠,nSz9i_Xq26Y,華語
我爱的是爱我的你,杨宗纬/高睿,KPnvtYmFe9c,華語
喜欢,杨丞琳/周笔畅,TjRROzDZesk,華語
PeterPen (彼得潘),Rapeter/功夫胖KUNGFU-PEN,pEUK51Fomt0,華語
是你没选我啊,张新成/吉娜·爱丽丝,Fv8K_Opd-_o,華語
忐白门,莫文蔚,6vKU1g2Fgm0,華語
11,Eric周兴哲,D_srQ-ihig8,華語
第三个吻痕,黄子弘凡/姚晓棠,3iWQyS4vSFs,華語
心碎双面胶,黄旭,JJWjST_D4fc,華語
寂寞寂寞不好,Ghost (王琳凯)/张新成,2N5Toskbpvo,華語
匿名的好友,杨丞琳/黄子弘凡,s9hGDIpwfXw,華語
半句再见,张碧晨/余佳运,IAWnsA-Dp_k,華語
爱我还是他,周笔畅/王铮亮,kHjRp4-_gL8,華語
胆小鬼,宋亚轩,uS96KF4V_VA,華語
桃花诺,罗云熙/黄霄雲,t2hGAOnVOeY,華語
迟迟,薛之谦,v41tTfBMxvw,華語
一样的月光,曾沛慈,J28oOfvNVD8,華語
你看你看月亮的脸,张磊,xgZRTzxcJHU,華語
间距,于冬然/en (王翊恩),_CO3onnZOB0,華語
将军令,周柏豪,AQZw3kbFLpg,華語
第三个吻痕,周震南/陈卓璇,nYTV3j56SAE,華語
想见你想见你想见你,郁可唯/TF_ING穆祉丞,7Sux0jSdSfs,華語
真实,汪苏泷/Eric周兴哲,vFLfS8MNvBk,華語
孤单北半球,王赫野/张星特,ZkZGMN623zQ,華語
想想忘忘,莫文蔚/Karen Mok & The Masters,5aUtC0bRogU,華語
阴天,周笔畅/杨宗纬,88Kv8KyXH_Y,華語
爱河,杨丞琳/王铮亮,CldOls9yrcg,華語
好想谈恋爱,单依纯,z_rQIAicJj4,華語
爱情转移,欢子/周柏豪,sRKFWX1CAwE,華語
笼,张杰,A2iZgwp1Llo,華語
做人低调 做事高调,翁杰_Winjay,Hflbp4WzR3Y,華語
Don't Break My Heart,窦靖童,klCd4FKdTWc,西洋
到时说爱我,王铮亮/高睿,rr-fgEWozJQ,華語
心之火,张鑫,_SDj6gcGE5g,華語
晴天,周杰伦,DYptgVvkVLQ,華語
恋人,李荣浩,5RlEWndW0bE,華語
总有一天你会出现在我身边,棱镜乐队,vaC8STyhPc4,華語
ANGEL,尹美莱/Tiger JK/Bizzy,sXP4uMm0teA,韓語
Always Online,林俊杰,-gqfAzw6FQo,華語
红尘客栈,周杰伦,L6joGUdc6y4,華語
阴天,莫文蔚,tYWufUugeUc,華語
春娇与志明,街道办GDC/欧阳耀莹,TvSLCxXyrBA,華語
我怀念的,孙燕姿,G7uSHzyVAwg,華語
无人之岛,任然,0RsL8Ga73QQ,華語
盛夏的果实,莫文蔚,N2d9vPacdmw,華語
唯一,G.E.M. 邓紫棋,xXr4Z7HAZCE,華語
雨爱,杨丞琳,oec9R5ypf-o,華語
搁浅,周杰伦,YJfHuATJYsQ,華語
夜曲,周杰伦,6Q0Pd53mojY,華語
演员,薛之谦,jQu4cJ00UEo,華語
偏爱,张芸京,QDwLjCGdmYM,華語
红色高跟鞋,蔡健雅,ATblV50Odx8,華語
小半,陈粒,Xw8zuUKauxs,華語
发如雪,周杰伦,gnz7It0-F4g,華語
多远都要在一起,G.E.M. 邓紫棋,D9ksLn6hZ7Q,華語
情歌,梁静茹,itjyryJ-8IU,華語
富士山下,陈奕迅,JDpRnPef5qQ,華語
开始懂了,孙燕姿,h5eRbbOnPRc,華語
空心,光泽,PXnhdl_URro,華語
思念是一种病,张震岳/蔡健雅,9ei1PUmDz98,華語
刻在我心底的名字,卢广仲,m78lJuzftcc,華語
素颜,许嵩/何曼婷,SwBEmdhqb6M,華語
最佳损友,陈奕迅,0fcKEN4_QoM,華語
童话,光良,IBTmypxD2mU,華語
特别的人,方大同,IscPlLsh6iU,華語
江南,林俊杰,G97_rOdHcnY,華語
Beauty And A Beat,Justin Bieber/Nicki Minaj,Ys7-6_t7OEQ,西洋
出现又离开,梁博,n0Y7J-TzgZE,華語
我们俩,郭顶,2kc1FDmzLkI,華語
后会无期,徐良/汪苏泷,iKrMvFYaFzg,華語
你要的全拿走,胡彦斌,9HDHnU-Vl0g,華語
慢冷,李荣浩,m9o7Vt2e3Ps,華語
其实,薛之谦,YT3HI5hyMi4,華語
Baby,Justin Bieber/Ludacris,kffacxfA7G4,西洋
坏女孩,徐良/小凌,xKfBknbOsz0,華語
下完这场雨,后弦,lttm50z2-2s,華語
离开我的依赖,王艳薇,RFNRzN3jDmk,華語
遇见,孙燕姿,zgmnU8BxE2c,華語
泡泡,牛佳钰,mmyZsv_vRJw,華語
心墙,郭静,VhCRokYVF1I,華語
不分手的恋爱,汪苏泷,oTG_6WKh_4c,華語
关键词,林俊杰,YFr6p7vB9hc,華語
恶作剧,王蓝茵,VaSjWclJKGE,華語
那时雨,徐良,7BJ_onc5itA,華語
如愿,王菲,6fV2dRqJHvw,華語
瞬,郑润泽,yJq54boC5RA,華語
此生不换,青鸟飞鱼,yz80TCsFDaA,華語
黄昏,周传雄,6ca_YHZvzls,華語
十年,陈奕迅,tjr3SrCg3pc,華語
可不可以,张紫豪,hgIDXTmmgDg,華語
海阔天空,BEYOND,qu_FSptjRic,華語
奢香夫人,凤凰传奇,i6W3qRIH1kc,華語
我们的歌,王力宏,FpPDwP0NWnw,華語
夏夜最后的烟火,颜人中,SVdZy0uZBUg,華語
如果爱忘了,汪苏泷/单依纯,40iCGaUhTbE,華語
背对背拥抱,林俊杰,7xgucJEqNDo,華語
泡沫,G.E.M. 邓紫棋,mGeiABBB5f8,華語
樱花草,Sweety,vYcl7cw8gWo,華語
有何不可,许嵩,_2f-7oQIS8M,華語
倒数,G.E.M. 邓紫棋,ma7r2HGqwXs,華語
妥协,蔡依林,M00rcJ9gMEc,華語
天外来物,薛之谦,fvkKk5ozyeI,華語
Letting Go,蔡健雅,SMXWjumui5s,華語
不将就,李荣浩,a9ot-Fa9KHk,華語
美人鱼,林俊杰,3Nu7C4zU0Vs,華語
第57次取消发送,菲菲公主（陆绮菲）,gHk8MIx6nfY,華語
我记得,赵雷,VBUmDbpY7zM,華語
一样的月光,徐佳莹,J28oOfvNVD8,華語
半壶纱,刘珂矣,krB_XMDeBJo,華語
幻听,许嵩,IdI4JOqlvVU,華語
会呼吸的痛,梁静茹,TY3nj5ANRrk,華語
不遗憾,李荣浩,u5ZsoP8FZUQ,華語
认真的雪,薛之谦,Un8kwjcpKZA,華語
牵丝戏,银临/Aki阿杰,C6YobfNjeqc,華語
IF YOU,BIGBANG,h9hdorPqukU,韓語
夏天的风,温岚,Uh3cbLgVXP0,華語
句号,G.E.M. 邓紫棋,7XlqcS6B7WA,華語
模特,李荣浩,dLG4as6BNYo,華語
来不及爱你,h3R3刘清云,CtppsmagVVs,華語
鲜花,回春丹乐队,p8jMPe_9Qek,華語
忘情牛肉面,马健涛,H2Taq2lxGg8,華語
虚拟,陈粒,qxjYJVz64LQ,華語
爱情讯息,郭静,t7Q-MkGfdHg,華語
勇气,梁静茹,0IJGFoG3fII,華語
我知道,BY2,C4gB9kDBCt8,華語
如果可以,韦礼安,8MG--WuNW1Y,華語
他不懂,张杰,Sou615G6s7g,華語
最后一页,江语晨,UDyhT-6Idek,華語
我是真的爱上你,王杰,sKqx1twDbfA,華語
青花,周传雄,WfYO_Q2n-Vk,華語
至少还有你,林忆莲,pQlAWZLOpgo,華語
平凡之路,朴树,6q5Syk54i9U,華語
后来,刘若英,t0igPuDjYUE,華語
甲乙丙丁 (你我怎么两清),李佳薇,YhiQDARUJ7Y,華語
留白,吴炳文,AP4yGB6UF9g,華語
一直下,陈宇祥,LW5ROCc5SEw,華語
我会好好的,黑豆ado,tR_LP6zEB9M,華語
你的眼神(像一阵细雨洒落我心底),晚月moon/Big Cole,v6DGQ3blR5c,華語
岁月如笔写春秋EDM,花姐,k_E6fF7zmU0,華語
我不愿看到你流泪的眼睛,404Hz/DJariium/YYYu,-,華語
落笔匆匆,余佳运/井迪,XTksZlXSA98,華語
英雄出处,高冷,9MYWGLsQMuo,華語
可惜我是水瓶座,励志豪,-,華語
你的眼神,周深深,UBsqcePKPPc,華語
走错太多路,戎大姨,-eva3qky6ME,華語
big feelings,Ariana Grande,FXultmvqvyA,西洋
freak,Ariana Grande,-,西洋
见山,水木年华,J5ozd4WVNpM,華語
疑疑疑,王俊凯,NWCgUyd5IxY,華語
爱上你我很快乐,洋澜一,KZ45Bojl1vw,華語
never get over me,Ariana Grande,BeoL2D-37I4,西洋
看山,方大树/灯叔,f9askLeyptc,華語
这个年纪,白允y,-,華語
第57次取消发送,1个球,-,華語
You Are,李昊,-,華語
like i do,Ariana Grande,-,西洋
bad thing (bunny hop),Ariana Grande,WZNr8nPFJVw,西洋
Round We Go (慢慢向前),七元,YsEZkM7PrYM,華語
十万片,郭郡BiSang_NX,nu315A25yTA,華語
休止符,张艺兴,yTPIpBl9c3w,華語
姑娘在远方,就是南方凯,tp4sHDEDqeg,華語
记得,羊羊,6kIK31bCeWQ,華語
LEGEND,沈小婷 (XIAOTING),61mQuZDp450,西洋
也许在下雨天（眼泪才不被看见）,向思思,l6sBlk9pjTs,華語
JUST FOR THE NIGHT,HENRY刘宪华,y-YIWIuY5KY,西洋
哎呦喂,项睿娴,4uuWIH6yTe8,華語
Orchestra,Red Velvet,9tpWTRCQ6Hg,韓語
Cold Blooded,严浩翔,QY63IZwEEKY,華語
Nice to Meet Ya,TOMORROW X TOGETHER,CHnG06jNbf4,韓語
Hula Hoop,Red Velvet,eyVNYAf6vsw,日語
壳,Eric周兴哲,Sv2hV3j2WWg,華語
Lucky Light（幸运之光）,赵希予,-,華語
Hot Girls Cold Vibe,Red Velvet,6_Nx1szSyeY,韓語
替我决定,半吨兄弟,FCzU9X-UdBc,華語
窒息 (那天我哭到窒息),何洁,6c3IkKBudYY,華語
月满西楼约,巴扎黑,AzzuyTGhj8s,華語
烟火,半吨兄弟,clQczhdZE_A,華語
你有没有爱过我,烟嗓船长,-,華語
执念,周宣绮/Kissper,uckoPTpsxuw,華語
知道你不能,菜小欧,-,華語
Energy low,VodKe/HSHK,12546cZrVXo,西洋
心会跟爱一起走,周深深,-,華語
But You Don't Know Me,张艺兴,gHqR_d5m7Bk,西洋
生日不快乐,张艺兴,dtYOZ1wAx7I,華語
Stutter Love,张艺兴,4MqTbihf564,西洋
见山河,刘宇宁,BtlKy3TgNCM,華語
Two to Tango 交缠舞步,三Z-STUDIO/HOYO-MiX,-,西洋
讨厌,七元,8C-5DYkWXkA,華語
纸短情长,橘子妹,-,華語
回头太难,半根萝卜,VV4yacVxHRA,華語
一见如故,许嵩,g44GG7hoMJc,華語
不是我不小心,周深深,KYytKqBUkQo,華語
Copines（贝林厄姆进行曲）,Grimmmz/Rush Surge,-,西洋
如期,王俊凯,kT2kAQTbR-E,華語
夏天的味道,陆虎,qUjOd6nEvms,華語
Sei tu (是你),Camellia/Ellis Vibe,-,西洋
DADADA×担担担,王心凌,ynaQiCeZJOU,華語
无声潮汐,王俊凯,UjllBHTdtuk,華語
Stay,王俊凯,4ARN2y5bQs8,華語
我怀念的,云汐,-,華語
Take my heart,卢润泽,AoJOVhp5BVo,西洋
我不该动情,任夏,WExjsi0B2xs,華語
游向陆地的鱼,梓渝,R-FdIwzlC_s,華語
STRANGE,刘雨昕,J88kOcG7hmc,西洋
金乌 Golden Bird,刘宇/Alan Walker/孙名川Chuanzi Suona,pjw0EksP5oc,華語
每个人,周深,hMRKkipmWT0,華語
DON'T STOP,刘耀文,BVRouFkXMY4,華語
Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,p-LnAnYPo4I,華語
野草（致老狗）,曾舜晞,Zc8PeZe5Ecc,華語
忘了吗忘了吧,张颜齐/姚晓棠,4JpZKgXr2lI,華語
FLIRTY,다영 (DAYOUNG)/朴宰范,M0v-AeoIsTU,韓語
无归,李佳薇,CgJx9C-9xGs,華語
相见恨晚,橘子妹,-,華語
爱你太多,刘一手,3XnCatRiT4o,華語
我扭转了命运-戏腔版,李无名,-,華語
